Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",13.94,$118.78M,1991,n/a,n/a,https://www.nasdaq.com/symbol/dtf
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",8.76,$240.85M,1993,n/a,n/a,https://www.nasdaq.com/symbol/duc
DUK,Duke Energy Corporation,89.03,$64.82B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/duk
DUK^A,Duke Energy Corporation,26.63,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/duk^a
DUKB,Duke Energy Corporation,26.7,n/a,2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/dukb
DUKH,Duke Energy Corporation,25.19,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/dukh
DRE,Duke Realty Corporation,33.24,$11.95B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dre
DD,"DuPont de Nemours, Inc.",72.32,$54.15B,2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dd
DXC,DXC Technology Company,56.88,$15.16B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dxc
DY,"Dycom Industries, Inc.",54.91,$1.73B,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/dy
DLNG,Dynagas LNG Partners LP,1.44,$51.11M,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/dlng
DLNG^A,Dynagas LNG Partners LP,17.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dlng^a
DLNG^B,Dynagas LNG Partners LP,16.695,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dlng^b
DX,"Dynex Capital, Inc.",17.16,$421.93M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dx
DX^A,"Dynex Capital, Inc.",25.6062,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dx^a
DX^B,"Dynex Capital, Inc.",24.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dx^b
CTA^A,E.I. du Pont de Nemours and Company,83.5675,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cta^a
CTA^B,E.I. du Pont de Nemours and Company,105.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cta^b
ELF,"e.l.f. Beauty, Inc.",16.8,$836.48M,2016,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/elf
EGIF,Eagle Growth and Income Opportunities Fund,15.7,$112.74M,2015,n/a,n/a,https://www.nasdaq.com/symbol/egif
EXP,Eagle Materials Inc,86.68,$3.75B,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/exp
ECC           ,Eagle Point Credit Company Inc.,17.78,$432.3M,2014,n/a,n/a,https://www.nasdaq.com/symbol/ecc
ECCA,Eagle Point Credit Company Inc.,25.745,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/ecca
ECCB,Eagle Point Credit Company Inc.,26.16,n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/eccb
ECCX,Eagle Point Credit Company Inc.,25.5501,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/eccx
ECCY,Eagle Point Credit Company Inc.,25.7588,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/eccy
ESTE,"Earthstone Energy, Inc.",5.56,$357.61M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/este
DEA,"Easterly Government Properties, Inc.",18.49,$1.26B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dea
EGP,"EastGroup Properties, Inc.",118.91,$4.37B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/egp
EMN,Eastman Chemical Company,78.55,$10.89B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/emn
KODK,Eastman Kodak Company,2.53,$108.79M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kodk
ETN,"Eaton Corporation, PLC",81.15,$34.33B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/etn
ETV,Eaton Vance Corporation,15.47,$1.11B,2005,n/a,n/a,https://www.nasdaq.com/symbol/etv
ETW,Eaton Vance Corporation,9.81,$1.05B,2005,n/a,n/a,https://www.nasdaq.com/symbol/etw
EV,Eaton Vance Corporation,44.21,$5.06B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ev
EOI,Eaton Vance Enhance Equity Income Fund,15.27,$598.17M,2004,n/a,n/a,https://www.nasdaq.com/symbol/eoi
EOS,Eaton Vance Enhanced Equity Income Fund II,17.37,$828.36M,2005,n/a,n/a,https://www.nasdaq.com/symbol/eos
EFT,Eaton Vance Floating Rate Income Trust,13.51,$538.56M,2004,n/a,n/a,https://www.nasdaq.com/symbol/eft
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,9.35,$220.77M,2017,n/a,n/a,https://www.nasdaq.com/symbol/efl
EFF,Eaton vance Floating-Rate Income Plus Fund,15.06,$114.55M,2013,n/a,n/a,https://www.nasdaq.com/symbol/eff
EHT,Eaton Vance High Income 2021 Target Term Trust,9.87,$211.82M,2016,n/a,n/a,https://www.nasdaq.com/symbol/eht
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,20.9412,$226.9M,2013,n/a,n/a,https://www.nasdaq.com/symbol/etx
EOT,Eaton Vance Municipal Income Trust,23.72,$361.16M,2009,n/a,n/a,https://www.nasdaq.com/symbol/eot
EVN,Eaton Vance Municipal Income Trust,12.49,$297.04M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evn
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,9.55,$608.05M,2007,n/a,n/a,https://www.nasdaq.com/symbol/etj
EFR,Eaton Vance Senior Floating-Rate Fund,13.18,$485.66M,2003,n/a,n/a,https://www.nasdaq.com/symbol/efr
EVF,Eaton Vance Senior Income Trust,6.3,$238.56M,1998,n/a,n/a,https://www.nasdaq.com/symbol/evf
EVG,Eaton Vance Short Diversified Income Fund,13.51,$241.57M,2005,n/a,n/a,https://www.nasdaq.com/symbol/evg
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,24.64,$1.8B,2003,n/a,n/a,https://www.nasdaq.com/symbol/evt
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,25.27,$380.73M,2004,n/a,n/a,https://www.nasdaq.com/symbol/eto
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,16.48,$1.26B,2004,n/a,n/a,https://www.nasdaq.com/symbol/etg
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,15.75,$409.14M,2005,n/a,n/a,https://www.nasdaq.com/symbol/etb
EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund,9.62,$93.62M,2010,n/a,n/a,https://www.nasdaq.com/symbol/exd
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,12.11,$1.81B,2006,n/a,n/a,https://www.nasdaq.com/symbol/ety
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,8.29,$2.5B,2007,n/a,n/a,https://www.nasdaq.com/symbol/exg
ECT,ECA Marcellus Trust I,1.7135,$30.17M,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ect
ECL,Ecolab Inc.,197.93,$57.05B,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ecl
EC,Ecopetrol S.A.,18.87,$38.79B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ec
EIX,Edison International,70.1,$22.84B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eix
EW,Edwards Lifesciences Corporation,187.53,$38.97B,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ew
EP^C,El Paso Corporation,50.7779,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ep^c
EE,El Paso Electric Company,66.2,$2.69B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ee
ELAN,Elanco Animal Health Incorporated,33.35,$12.2B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/elan
ESTC,Elastic N.V.,95.01,$7.16B,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/estc
EGO,Eldorado Gold Corporation,7.22,$1.15B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ego
ESI,Element Solutions Inc.,9.99,$2.57B,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/esi
ELVT,"Elevate Credit, Inc.",4.27,$185.3M,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/elvt
LLY,Eli Lilly and Company,108.82,$105.65B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lly
EFC,Ellington Financial Inc.,18.24,$542.56M,2010,Finance,Real Estate,https://www.nasdaq.com/symbol/efc
EARN,Ellington Residential Mortgage REIT,11.19,$139.51M,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/earn
AKO.A,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ako.a
AKO.B,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ako.b
ERJ,Embraer S.A.,20.44,$3.76B,2000,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/erj
EME,"EMCOR Group, Inc.",87.88,$4.93B,n/a,Capital Goods,Engineering & Construction,https://www.nasdaq.com/symbol/eme
EEX,"Emerald Expositions Events, Inc.",11.11,$798.26M,2017,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/eex
EBS,"Emergent Biosolutions, Inc.",43.4,$2.23B,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ebs
EMR,Emerson Electric Company,66.24,$40.74B,n/a,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/emr
ESRT,"Empire State Realty Trust, Inc.",14.8,$4.52B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/esrt
EIG,Employers Holdings Inc,43.54,$1.4B,2007,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/eig
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),20.14,$883.27M,2007,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/edn
ENBL,"Enable Midstream Partners, LP",14.15,$6.16B,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/enbl
ENB,Enbridge Inc,35.95,$72.76B,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enb
ENBA,Enbridge Inc,26.5,n/a,2018,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/enba
ECA,Encana Corporation,4.65,$6.72B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eca
EHC,Encompass Health Corporation,64.13,$6.34B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ehc
DAVA,Endava plc,40.5,$2.2B,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/dava
EXK,Endeavour Silver Corporation,2.03,$267.96M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/exk
ENIA,Enel Americas S.A.,8.43,$9.69B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/enia
ENIA~,Enel Americas S.A.,0.1179,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/enia~
ENIC,Enel Chile S.A.,4.69,$6.49B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/enic
ENR,"Energizer Holdings, Inc.",40.32,$2.82B,2015,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/enr
ENR^A,"Energizer Holdings, Inc.",89.44,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/enr^a
EPC,"Energizer Holdings, Inc.",27.96,$1.51B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/epc
ET,Energy Transfer L.P.,14.95,$39.16B,1996,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/et
ETP^C,"Energy Transfer Operating, L.P.",24.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/etp^c
ETP^D,"Energy Transfer Operating, L.P.",24.82,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/etp^d
ETP^E,"Energy Transfer Operating, L.P.",25.13,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/etp^e
ERF,Enerplus Corporation,7.02,$1.64B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/erf
ENS,Enersys,65.69,$2.82B,2004,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/ens
E,ENI S.p.A.,32.69,$59.4B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/e
ENLC,"EnLink Midstream, LLC",10.44,$5.09B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/enlc
EBF,"Ennis, Inc.",20.64,$538.99M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/ebf
ENVA,"Enova International, Inc.",21.28,$717.7M,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/enva
NPO,EnPro Industries,63.28,$1.31B,n/a,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/npo
ESV,Ensco Rowan plc,8.2,$1.62B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/esv
ETM,Entercom Communications Corp.,6.09,$843.25M,1999,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/etm
EAB,"Entergy Arkansas, LLC",25.57,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eab
EAE,"Entergy Arkansas, LLC",25.91,n/a,2013,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eae
EAI,"Entergy Arkansas, LLC",25.39,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eai
ETR,Entergy Corporation,104.88,$20.81B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/etr
ELC,"Entergy Louisiana, Inc.",25.54,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/elc
ELJ,"Entergy Louisiana, Inc.",25.83,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/elj
ELU,"Entergy Louisiana, Inc.",25.22,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/elu
EMP,"Entergy Mississippi, LLC",25.78,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/emp
ENJ,"Entergy New Orleans, LLC",25.3282,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/enj
ENO,"Entergy New Orleans, LLC",26.28,n/a,2016,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/eno
EZT,Entergy Texas Inc,26.6937,n/a,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ezt
EPD,Enterprise Products Partners L.P.,30.32,$66.36B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/epd
EVC,Entravision Communications Corporation,3.44,$293.84M,2000,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/evc
ENV,"Envestnet, Inc",71.94,$3.73B,2010,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/env
EVA,"Enviva Partners, LP",30.73,$1.03B,2015,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/eva
ENZ,"Enzo Biochem, Inc.",3.74,$177.86M,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/enz
EOG,"EOG Resources, Inc.",87,$50.49B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eog
EPAM,"EPAM Systems, Inc.",195.9,$10.7B,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/epam
EPR,EPR Properties,74.94,$5.66B,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/epr
EPR^C,EPR Properties,32.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/epr^c
EPR^E,EPR Properties,37.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/epr^e
EPR^G,EPR Properties,25.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/epr^g
EQM,"EQM Midstream Partners, LP",42.33,$8.78B,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/eqm
EQT,EQT Corporation,15.12,$3.86B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eqt
EFX,"Equifax, Inc.",137.42,$16.6B,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/efx
EQNR,Equinor ASA,19.29,$64.24B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/eqnr
ETRN,Equitrans Midstream Corporation,18.31,$4.67B,2018,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/etrn
EQC,Equity Commonwealth,32.94,$4.02B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eqc
EQC^D,Equity Commonwealth,27.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eqc^d
ELS,"Equity Lifestyle Properties, Inc.",125.99,$11.34B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/els
EQR,Equity Residential,78.85,$29.22B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eqr
EQS,"Equus Total Return, Inc.",1.62,$21.9M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eqs
ERA,"Era Group, Inc.",8.48,$188.43M,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/era
EROS,Eros International PLC,1.63,$119.99M,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/eros
ESE,ESCO Technologies Inc.,82.11,$2.13B,n/a,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/ese
ESNT,Essent Group Ltd.,47.97,$4.72B,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/esnt
EPRT,"Essential Properties Realty Trust, Inc.",20.09,$1.16B,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eprt
ESS,"Essex Property Trust, Inc.",304.29,$20B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ess
EL,"Estee Lauder Companies, Inc. (The)",189.11,$68.43B,1995,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/el
ETH,Ethan Allen Interiors Inc.,21.44,$569.87M,1993,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/eth
EURN,Euronav NV,9.14,$2B,2015,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/eurn
EEA,"European Equity Fund, Inc. (The)",8.76,$67.42M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eea
EB,"Eventbrite, Inc.",16.05,$1.29B,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/eb
EVR,Evercore Inc.,89.75,$3.69B,2006,Finance,Investment Managers,https://www.nasdaq.com/symbol/evr
RE,"Everest Re Group, Ltd.",255.27,$10.4B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/re
EVRG,"Evergy, Inc.",61.06,$14.9B,2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/evrg
EVRI,Everi Holdings Inc.,12.06,$857.62M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/evri
ES,Eversource Energy,77.09,$24.46B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/es
EVTC,"Evertec, Inc.",33.16,$2.4B,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/evtc
EVH,"Evolent Health, Inc",7.46,$628.95M,2015,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evh
AQUA,Evoqua Water Technologies Corp.,14.25,$1.63B,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aqua
XAN,Exantas Capital Corp.,11.56,$368.33M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/xan
XAN^C,Exantas Capital Corp.,25.97,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/xan^c
EXC,Exelon Corporation,48.4,$46.99B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/exc
EXPR,"Express, Inc.",2.67,$179.59M,2010,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/expr
EXTN,Exterran Corporation,12.32,$447.55M,2015,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/extn
